headlines,body,link
"Tuition teacher repeatedly raped Primary 6 student, gets jail and caning","SINGAPORE: He was hired to give a 12-year-old girl private tuition for her Primary School Leaving Examinations (PSLE), but instead he was intimate with her during lessons and eventually raped her thrice.,The 43-year-old man, who cannot be named as it will identify the victim, was sentenced to 10 years and 10 months' jail and 12 strokes of the cane on Wednesday (Feb 5) for two counts of statutory rape and another charge of an indecent act with a child.,Another four charges were taken into consideration, including the third rape charge.,The court heard that the victim lived with her parents and younger sister.,In early 2017, when she was in Primary 5, she went for regular mathematics tuition at a tuition centre where the accused held a freelance job.,The man, then 41, gave his number to all his students and encouraged them to call him if they had any problems, and told the victim to confide in him.,They started texting each other, with their conversations becoming increasingly intimate and personal by the end of 2017.,The tutor told the girl that ""he liked her the best, as a student, out of his whole class"". ,In return, she said she considered him her ""soulmate"", and agreed to become his girlfriend in April 2018.,They began dating, going for meals and hanging out at shopping malls, holding hands like a couple, said Deputy Public Prosecutors Asoka Markandu and Eugene Teh.,The girl kept her relationship a secret from her parents, and recommended the man to her parents as a tutor as it was her PSLE year.,Her parents hired the accused to provide one-on-one tuition to their older daughter for Math, Science and English at their home.,He began giving her private tuition classes weekly on Sunday for four hours, from May 2018.,Between May 2018 and September 2018, there were several occasions when the tutor was intimate with the victim during the lessons, said the prosecutors.,During this period, the tutor was cohabiting with his girlfriend and engaging in sexual activities with her.,In late May 2018, shortly after the victim turned 12, the tutor picked the girl up from her school and drove her to a mall in Woodlands.,They entered a toilet for the disabled and kissed and touched each other in what was the victim's first sexually intimate experience with her tutor.,They went to Bukit Panjang Plaza months later on Dec 5, 2018, having arranged to have sex.,The tutor knew that the victim was a virgin, but he went with her into a toilet for the disabled, where he raped her.,He raped her again about a week later at his own home, and a third time that month.,The girl went on holiday to Malaysia with her parents in late December 2018 when they noticed that she was busy sending messages on her phone.,They questioned her and realised that she was contacting her tutor, the court heard.,The girl's mother demanded to look at the messages, but the girl refused. Her father intervened and took the phone from her, and the illicit relationship was revealed.,They forbade her from having any further contact with the accused, and the girl's father filed a police report saying he had found ""sexually suggestive messages between my daughter and her tuition teacher"".,Deputy Public Prosecutor Asoka Markandu asked for a sentence of at least 11 years' jail and 12 strokes of the cane.,He said the tutor ""showed no qualms in abusing the trust reposed in him by an exceptionally vulnerable victim and her parents"".,He noted that there was an escalation of sexual intimacy between May 2018 and December 2018, culminating with three counts of statutory rape in the last month.,""The escalation of sexual activities between the accused and the victim strongly suggests that there was an element of sexual grooming involved,"" said Mr Asoka.,""The incidents of sexual intimacy was not limited to a single isolated act and was also committed in the privacy of the victim's home, during tuition class,"" he said.,""Children, such as the victim, are vulnerable and often lack the emotional and intellectual maturity to make important decisions about their lives, including those pertaining to sexual conduct and behaviour."",He said the accused had been engaged by the victim's parents to prepare her for PSLE, but instead abused his position and developed an intimate relationship with her.,""At the material time, the accused was also cohabiting and engaging in sexual activities with his girlfriend,"" he said.,He added that while the victim had developed a liking for the tutor and consented to the sexual acts, the man had ""a responsibility not to take advantage of her naivety or to exploit her for his own sexual gratification"".,""At that tender age, the victim was not in a position to appreciate or understand the implications of a sexual relationship,"" said Mr Asoka.,Defence lawyer Raphael Louis asked instead for nine years and eight months' jail and six strokes of the cane.,He said his client had no previous convictions, pleaded guilty early, and did a good job in his 10 years as a ""caring"" tutor.,This was relevant because of his potential to be rehabilitated, said the lawyer.,""He went the extra mile to help his students academically and emotionally,"" said Mr Louis. ""He would also buy assessment books, (he) was friendly and approachable."",""Unfortunately, because of his friendly demeanour ... he didn't draw proper boundaries with the victim."",The lawyer said ""there is no excuse for what my client has done"", and that ""he deserves to be punished"", but said he had to ensure the punishment was fair and not harsh.,Justice Valerie Thean said she found that there was a ""serious breach of trust"", and noted that the victim was 12.,For each count of statutory rape, the tutor could have been sentenced to up to 20 years and fined or caned.",<200 https://www.channelnewsasia.com/news/singapore/tuition-teacher-repeatedly-raped-primary-6-student-gets-jail-and-12394536>
4 locally transmitted cases among new coronavirus patients in Singapore,"SINGAPORE: Singapore confirmed on Tuesday (Feb 4) its first locally transmitted cases of the novel coronavirus, among six new cases of the disease detected in the country.,Four Singapore residents with no recent travel history to China have tested positive for the virus, which has , since it was detected in Wuhan in central China.,One of them was a tour guide for a group of Chinese tourists, two work at a shop the group had visited,,while a fourth case of local transmission was the domestic helper of one of the cases, the Ministry of Health (MOH) said at a briefing.,The tour group had arrived in Singapore from China on Jan 22 and went to Malaysia from Jan 24 to 26. They re-entered Singapore via Woodlands Checkpoint at 3am on Jan 27 and flew from Changi Airport Terminal 1 at 6am.,Pending confirmation from the Chinese authorities, the travellers are from Guangxi, and at least two of them have since been confirmed to have the coronavirus, said MOH.,""The Ministry of Health has commenced contact tracing to identify individuals who had close contact with these cases, so as to ring-fence the cluster and limit further spread,"" said Health Minister Gan Kim Yong.,Another two new cases announced by the authorities on Tuesday are Singapore residents who had been evacuated from Wuhan.,This brings the total number of cases in Singapore to 24.,Two of the patients who caught the virus here are salespeople at Yong Thai Hang, a health product store that serves primarily Chinese tourists. They are the 19th and 20th cases reported.,The tour group had visited the store, among other places, on Jan 23.,The 19th case, a 28-year-old Singapore permanent resident, reported developing a sore throat and fever on Jan 29. She went to Tan Tock Seng Hospital emergency department on Jan 30 and was discharged after a chest X-ray found she did not have pneumonia.,She stayed at home from Jan 31 till Sunday before being admitted to the Singapore General Hospital (SGH) on Monday.,The 20th case is a 48-year-old Singaporean woman who lives at Hougang Street 61. She reported symptoms on Jan 25 and was admitted on Monday to the National Centre for Infectious Diseases (NCID).,Information about her movements between Jan 25 and Monday was not provided.,Case 19's maid, a 44-year-old Indonesian national, is the 21st case. She reported onset of symptoms on Sunday and did not leave her house until she was admitted to SGH the next day.,A tour guide who brought tour groups to Yong Thai Hang is the 24th case. The 32-year-old Singaporean was asymptomatic when she went to NCID. ,The 22nd and 23rd cases, both Singaporeans, were among 92 people evacuated from Wuhan on Jan 30 and the two had no symptoms when they boarded the flight to Singapore. ,They were put under quarantine in Singapore and tested positive on Monday despite showing no symptoms. They are now both in isolation rooms at NCID. ,Authorities on Tuesday said that the four cases of local transmission are not evidence of community spread as they can be traced back to recent travellers from China and some had close contact with one another.,Mr Gan elaborated on the difference between a local transmission cluster and community spread: “The main difference is that for this cluster, we could identify all the sources that were involved. The source was a group of mainland China tourists. We have their names, we have an indication of the patients that fell ill.,“Therefore we could identify the specific source… If we are able to ringfence this particular cluster, we can control the spread. Therefore we say it is a limited local transmission.”,But if there are multiple clusters and the Government cannot determine the source, that is when it would be labelled a widespread community transmission, he added. ,“When that happens, we will move to Dorscon (Dors condition) Orange. Today, we are still at Yellow.”,Currently, Singapore is at Dorscon Yellow, signifying that the virus is severe and can infect from person to person, but is chiefly occurring outside Singapore. The next step up is Dorscon Orange, whereby the virus is spreading in Singapore but not widely, and is being contained. ,At the heart of Singapore’s response plan is the Disease Outbreak Response System (Dors), a crisis management plan which did not exist in 2003, but was drafted after SARS and refined again in the wake of the swine flu (H1N1) pandemic in 2009.,MOH's director of medical services Kenneth Mak added that even though the domestic helper of one of the cases was infected, it was in an ""enclosed setting"" within the home.,""We're still continuing to do contact tracing and we'll continue to be vigilant for more cases. There may be more cases that come out in relation to the same exposure to ... this travel group,"" he added.,Answering queries from reporters, Mr Gan said that the mode of transmission between the tour group and the patients cannot be determined, but the tour guide would have been with the tour group for a long period of time while the salespeople would have interacted with the travellers at the shop.,""It's not transient contact ... where you happen to meet (the person) on the street,"" he said.,Dr Mak said that the tour guide reported that some of the travellers were coughing and sneezing while they were in Singapore but it would be ""speculative"" to say that this was the mode of transmission.,As the tour group has returned to China, some of the contacts are a result of checking with the Chinese authorities, Mr Gan added.,As an added precaution, individuals who, like the cases of local transmission, have had recent close contact with people with travel history to mainland China will be contacted.,Authorities are also , who had tested positive for the novel coronavirus after attending a meeting at the Grand Hyatt Hotel in Singapore that involved Chinese nationals.,In addition, MOH has expanded surveillance efforts to conduct 2019-nCoV testing on all individuals with pneumonia at Singapore hospitals since last week.,Other measures to pre-empt possible community spread of the virus were also announced, including enhanced cleaning of public areas.,Authorities have urged places with high human traffic to step up cleaning, including food and beverage outlets, shops and hotels.,""Current evidence suggests that the likely modes of transmission are mainly through contact with droplets from infected individuals, either directly or indirectly through hands that have come into contact with these droplets,"" said MOH.,""The virus can also transmit through surface contact."",Sanitation and hygiene advisories have been disseminated by the National Environment Agency. ,A more cautious stance will be taken with vulnerable groups like young children and the elderly, authorities said.,Schools will not hold mass assemblies and recess sessions will be staggered, while school camps will be cancelled.,Pre-schools facilities will suspend large-group and communal activities, while eldercare facilities will also suspend external excursions and large gatherings.,Should community spread occur, more measures to reduce human interaction will be considered, authorities added.,""We are closely monitoring the situation and stand ready to ramp up our measures if necessary,"" said Mr Gan. ""I urge Singaporeans to remain calm. We will spare no effort to protect our people."", all had recent travel history to Wuhan, the epicentre of the coronavirus outbreak.,In an update, MOH said one of the cases was discharged on Tuesday after testing negative for the virus. The patient discharged, a 35-year-old man from Wuhan who, was the ,.,Many of the remaining cases ,; several need oxygen support but none are critically ill.,Chief Health Scientist Tan Chorh Chuan said that many of the patients are on supportive treatment while a small number are on an antiretroviral combination of Lopinavir and Ritonavir.,As of noon on Tuesday, 289 suspect cases have tested negative for 2019 novel coronavirus and test results for 20 cases are pending.,As a precaution, they will be quarantined for 14 days from their last exposure to the patient. All other identified contacts who have a low risk of being infected will be contacted daily to monitor the status of their health.,MOH has also identified 311 close contacts. Of the 239 who are still in Singapore, 234 have been contacted and are being quarantined or isolated. The ministry is trying to contact the remaining five.,On Saturday, Singapore widened travel restrictions to bar all new visitors with recent travel history to ,. These visitors are also not allowed to transit in Singapore.,The coronavirus has , people and infected more than 20,000 around the world. The World Health Organization (WHO) has declared the virus outbreak ,.,Hong Kong on Monday , from the coronavirus, and the second outside mainland China. ",<200 https://www.channelnewsasia.com/news/singapore/wuhan-virus-coronavirus-singapore-community-spread-tourists-12389314>
Man who defecated in court gets jail and caning for raping two 14-year-old girls,"SINGAPORE: A man who made headlines for malingering and defecating in his pants in court was found guilty of rape and sexual assault and sentenced to 32 years' jail and 24 strokes of the cane on Wednesday (Feb 5).,Isham Kayubi, who turns 50 in June, was convicted of four charges of rape and two charges of sexual assault against two 14-year-old girls.,He had lured the two girls on separate occasions to his house on false pretences, raping them, forcing them to fellate him and filming the process.,Isham had urinated during a previous hearing in August 2019 and flashed his penis in court.,However, he was found to be mentally sound and fit to plead, and a report by the Institute of Mental Health said he was malingering.,When the trial began last month, he did not enter a plea, instead mumbling incoherently, said Justice See Kee Oon.,The hearing was delayed after Isham defecated in his pants on the way to the toilet and smeared it on his shirt. He also smeared it on a glass panel separating him from the court interpreter when he was taken back to court.,""I shall not go into details of his behaviour both in and out of the courtroom on that day,"" said Justice See.,However, he noted that the accused had twice been certified fit to plead and of sound mind, first when he was arrested and in an IMH report in September 2019.,As the trial progressed, Isham became more communicative and cross-examined some witnesses on the third day of the trial.,However, when called to enter his defence, he gave no response and instead repeatedly maintained that he needed time to get a lawyer.,""I had earlier rejected a similar request, bearing in mind that he was previously represented by Criminal Legal Aid Scheme lawyers who discharged themselves in November 2018 with his consent,"" said Justice See.,Isham had also been informed by CLAS that he would not be assigned another lawyer, the judge said, adding that Isham had ""ample time"" to engage counsel before the trial began in January 2020.,He found the victims to be candid and straightforward in their testimonies, and found that the prosecution had proven the charges. ,""The victims' evidence was that they were induced by the accused to go to his flat,"" said Justice See. ""He even threatened to have gang members come over to remove their clothes or gang-bang them if they refused to give in to his demands."",Isham threatened to make videos of the victims go viral, and they complied with his instructions out of fear.,In his defence, Isham had claimed that the victims had ""conspired"" against him to set him up, saying that they were both lying.,However, the judge rejected this, saying he saw no reason for them to fabricate or embellish their evidence, or to falsely implicate Isham.,He also assessed evidence including closed-circuit television footage, as well as video recordings and messages from Isham. ,Isham did not testify on the stand, and did not call any witnesses for his case.,Deputy Public Prosecutors James Chew and Jane Lim called for at least 30 years' jail and 24 strokes of the cane.,Mr Chew listed Isham's string of previous convictions. He had been in and out of jail since 1995 for offences like theft and drugs.,In 2008, he was convicted of offences against four girls aged between 14 and 19. This included charges of carnal intercourse against the order of nature and carnal connections with a minor.,He used similar modus operandi in these offences, said Mr Chew, committing sexual offences against young girls and using his phone to capture the acts.,""We can see that he had actually tried to reach out to young girls randomly and then, using various pretexts, tried to bring them to location where he can commit sexual acts against them,"" said Mr Chew.,Shortly after his release from jail for the 2008 convictions, Isham was again jailed for drug consumption in 2011 and released around the end of 2015.,He committed the current rape and sexual assault offences about two years after his release.,Mr Chew said the sentencing must deter Isham and that the public, especially young girls, must be protected.,There are ""clear parallels"" to his previous offences, and Isham's proclivity to targeting young girls must be strongly considered, he added.,The latest victims were young and vulnerable, not just in terms of age but also because they had both run away from home when Isham targeted them and did not have family support.,When questioned by the judge on whether he considered Isham's conduct in court as an aggravating factor, Mr Chew said: ""We do recognise that there is a high likelihood that there will be separate action taken for that conduct."",He said the prosecution was not labelling the conduct an aggravating factor, but instead using it as part of the reason for saying Isham had shown a ""complete lack of remorse"".,Even after conviction, Isham maintained through the interpreter that he was not guilty. ,He asked for leniency in sentencing, saying he had been separated from his aged father after being incarcerated.,Justice See said he was generally in agreement with the prosecution, noting that Isham was not a first offender, and that there were previous related offences with parallels to the current case.,""There are clearly aggravating factors that are present in this case,"" he said. ""I do not see any relevant mitigating factors."",He backdated the sentence to November 2017, when Isham was remanded.,He could have been jailed for up to 20 years and fined or caned for each charge of rape.",<200 https://www.channelnewsasia.com/news/singapore/man-who-defecated-in-court-gets-jail-and-caning-for-raping-two-12396360>
What we know about the locally transmitted coronavirus cases in Singapore,"SINGAPORE: Six patients in Singapore, including four with no recent travel history to China, have tested positive for the novel coronavirus, the Ministry of Health (MOH) announced on Tuesday (Feb 4).,The four cases of local transmission are linked to travellers from China, the ministry said. Another two cases are Singaporeans evacuated from Wuhan on Jan 30.,This brings the total number of confirmed cases in Singapore to 24.,Of the four locally transmitted cases, three had ""prolonged interactions"" with recent travellers from China. Two of the Chinese travellers have since been confirmed to have been infected with the coronavirus, according to health authorities in China.,""Though four of these cases constitute a local transmission cluster, there is as yet no evidence of widespread sustained community transmission in Singapore,"" MOH said.,Here is what we know about the six new cases:,A tour group from China had arrived in Singapore on Jan 22. A day later, the group visited a health product shop at 24 Cavan Road in Jalan Besar, among other places.,Case 19 is a 28-year-old Singapore permanent resident who works as a salesperson at Yong Thai Hang, a complementary health product shop that primarily serves Chinese tourists. She has no recent travel history to China.,She reported having a sore throat and fever on Jan 29 and sought treatment at a GP clinic on the same day, MOH said.,She went to Tan Tock Seng Hospital’s (TTSH) emergency department on Jan 30 and was discharged after a chest X-ray came back negative for pneumonia.,She did not leave her home at Jalan Bukit Merah from Jan 31 to Feb 2. On Feb 3, she was admitted to the Singapore General Hospital (SGH) and tested positive for the novel coronavirus past 11pm on the same day.,MOH's director of services Associate Professor Kenneth Mak told reporters that the patient had not met the ""case definition"" on Jan 30 because she did not have pneumonia when she was checked at TTSH and had no recent travel history to China. ,The situation changed on Feb 3 when she went to SGH, where she was diagnosed with pneumonia, Assoc Prof Mak said.,Case 20 is a 48-year-old Singaporean woman who also works as a salesperson at Yong Thai Hang. She has no recent travel history to China.,The woman, who stays at Hougang Street 61, reported onset of symptoms on Jan 25 and was admitted to the National Centre for Infectious Diseases (NCID) on Feb 3. Details of her movements between those dates were not provided.,""Given that she is a colleague of case 19, she was classified as a suspect case and immediately isolated,"" MOH said in a press release. Test results confirmed the infection on Tuesday morning.,Case 21 is case 19’s domestic helper. The 44-year-old Indonesian national has no recent travel history to China and resided at Jalan Bukit Merah as well.,She reported onset of symptoms on Feb 2 and did not leave her place of residence. She was also admitted to SGH on Feb 3. She was tested positive for the novel coronavirus on Tuesday afternoon.,Case 24 is a 32-year-old Singaporean woman who works as a tour guide and brings groups of tourists to Yong Thai Hang, where cases 19 and 20 are employees. She had no recent travel history to China.,She had no symptoms when she went to NCID on Feb 3, where she was immediately isolated. ,Test results confirmed the infection on Tuesday afternoon.,""We are also contacting individuals with profiles similar to the above four cases of local transmission, who had recent close contact with individuals with travel history to mainland China,"" said MOH. ,Cases 22 and 23 were among the 92 Singaporeans , from Wuhan, the epicentre of the coronavirus outbreak.,They did not have any symptoms when they boarded the Scoot flight and they were put under quarantine upon landing in Singapore.,All Singaporeans who were evacuated from Wuhan were tested for the novel coronavirus. On Monday, cases 22 and 23 tested positive, despite continuing to show no symptoms.,They are warded in isolation rooms at NCID.,Last Friday, it was announced that all new visitors with recent travel history to mainland China ,. These visitors will also not be allowed to transit in Singapore. ,Those with Chinese passports, with the exception of Singapore permanent residents (PRs) and long-term pass holders, will also not be allowed to enter Singapore. ,The coronavirus has , and infected more than 20,000 around the world. The World Health Organization has declared the virus outbreak a global emergency.",<200 https://www.channelnewsasia.com/news/singapore/wuhan-coronavirus-singapore-virus-new-cases-local-transmission-12390118>
COE prices for cars fall sharply in latest bidding exercise,"SINGAPORE: Certificate of Entitlement (COE) premiums fell sharply for cars in the first bidding exercise for February, with larger cars seeing a near-10 year low. ,Prices for larger and more powerful cars in Category B fell to S$30,890 in Wednesday's (Feb 5) bidding exercise, down from S$37,705 in the last exercise.,This was the lowest since the S$26,389 figure seen in the first bidding exercise of March 2010, according to Land Transport Authority figures.,Category A cars - or those 1,600cc and below with horsepower not exceeding 130bhp - fared badly as well, with premiums closing at S$30,010, down from S$35,010 in the last exercise.,Open category COEs, which can be used for any vehicle type but end up being used mainly for large cars, fell to S$34,900 from S$37,500.,Motorcycle premiums closed at S$4,401, down from S$4,610 in the last exercise.,Only COEs for commercial vehicles, which include goods vehicles and buses, rose marginally to S$25,013 from S$25,001 in the previous bidding exercise.,A total of 4,227 bids were received, with a quota of 3,193 COEs available. ",<200 https://www.channelnewsasia.com/news/singapore/coe-premiums-prices-cars-transport-february-12396046>
